Date,Product,Quantity,Revenue
2025-02-25,Widget A,19,741
2025-08-12,Widget C,40,680
2025-05-09,Widget B,32,480
2025-03-11,Widget B,3,87
2025-09-17,Widget E,30,780
2025-09-02,Widget C,37,1591
2025-10-25,Widget C,25,525
2025-09-12,Widget B,26,910
2025-09-25,Widget A,4,100
2025-09-17,Widget E,15,390
2025-12-26,Widget C,5,230
2025-08-10,Widget C,15,645
2025-11-14,Widget E,41,1435
2025-10-18,Widget D,43,1849
2025-10-18,Widget E,17,221
2025-09-22,Widget C,41,1517
2025-05-17,Widget D,15,420
2025-03-25,Widget D,10,430
2025-01-09,Widget D,12,216
2025-04-01,Widget B,5,130
2025-10-20,Widget A,19,418
2025-08-06,Widget A,15,735
2025-03-28,Widget D,3,102
2025-05-29,Widget B,29,1044
2025-01-18,Widget D,22,1078
2025-11-23,Widget E,50,1050
2025-06-03,Widget B,18,198
2025-11-28,Widget E,5,210
2025-06-11,Widget B,49,1274
2025-08-15,Widget E,26,962
2025-02-12,Widget C,12,228
2025-02-11,Widget E,24,696
2025-02-10,Widget E,10,330
2025-09-11,Widget B,35,525
2025-06-23,Widget E,2,72
2025-12-16,Widget B,3,51
2025-04-23,Widget B,12,552
2025-07-29,Widget E,14,672
2025-06-07,Widget A,21,504
2025-07-29,Widget A,7,287
2025-05-25,Widget A,19,684
2025-02-24,Widget E,23,667
2025-11-23,Widget B,17,374
2025-07-20,Widget B,40,1760
2025-09-18,Widget D,11,297
2025-11-09,Widget C,19,437
2025-08-09,Widget B,18,684
2025-06-11,Widget A,20,960
2025-06-15,Widget E,18,234
2025-07-08,Widget A,6,198
2025-10-22,Widget A,6,138
2025-08-06,Widget E,4,88
2025-06-07,Widget A,6,120
2025-08-05,Widget E,12,144
2025-05-05,Widget B,5,175
2025-12-16,Widget B,5,115
2025-03-21,Widget E,1,15
2025-04-15,Widget D,16,784
2025-11-16,Widget D,26,910
2025-06-22,Widget C,47,1833
2025-11-14,Widget B,2,80
2025-05-01,Widget C,26,728
2025-02-09,Widget B,38,1444
2025-03-19,Widget A,36,1224
2025-06-01,Widget A,21,315
2025-07-02,Widget D,36,1800
2025-05-18,Widget E,17,204
2025-11-09,Widget C,6,258
2025-03-20,Widget C,20,540
2025-02-14,Widget D,50,2000
2025-09-16,Widget E,12,348
2025-05-08,Widget B,27,486
2025-03-02,Widget A,40,1600
2025-02-04,Widget B,21,1008
2025-10-07,Widget A,26,416
2025-06-02,Widget D,28,1092
2025-04-05,Widget A,42,1722
2025-06-09,Widget A,28,1232
2025-12-11,Widget B,40,1680
2025-02-12,Widget B,49,2156
2025-09-02,Widget B,14,266
2025-12-16,Widget D,48,624
2025-11-25,Widget C,13,377
2025-01-29,Widget B,38,1254
2025-12-26,Widget A,5,110
2025-03-13,Widget A,46,1518
2025-07-06,Widget A,13,637
2025-05-20,Widget E,48,2208
2025-03-12,Widget B,19,760
2025-10-01,Widget E,7,308
2025-03-22,Widget C,31,1085
2025-12-14,Widget E,43,430
2025-03-11,Widget A,35,945
2025-09-02,Widget C,47,2162
2025-02-18,Widget A,4,104
2025-06-10,Widget C,7,266
2025-05-15,Widget A,11,418
2025-05-31,Widget A,32,416
2025-07-20,Widget E,7,231
2025-09-13,Widget A,28,392
2025-11-17,Widget E,27,1215
2025-02-23,Widget E,18,576
2025-09-04,Widget C,33,924
2025-10-01,Widget C,50,2200
2025-06-05,Widget C,28,420
2025-01-18,Widget B,11,330
2025-11-04,Widget B,10,400
2025-12-05,Widget B,15,555
2025-10-04,Widget D,49,1078
2025-01-22,Widget A,34,1122
2025-09-25,Widget E,41,1148
2025-03-30,Widget D,11,143
2025-06-09,Widget E,10,490
2025-12-03,Widget D,9,108
2025-11-12,Widget A,42,1680
2025-08-04,Widget C,46,2116
2025-05-07,Widget E,5,220
2025-08-10,Widget E,16,512
2025-05-19,Widget D,12,576
2025-06-19,Widget D,4,92
2025-05-30,Widget E,14,686
2025-04-18,Widget B,6,252
2025-10-01,Widget E,19,608
2025-02-20,Widget E,11,242
2025-10-27,Widget B,24,1008
2025-11-21,Widget E,31,713
2025-11-16,Widget D,8,336
2025-11-15,Widget C,29,1421
